CODIGO_PRODUTO,2023,2024,2025,TARGET_2025,COMPROU_2023,COMPROU_2024,COMPROU_2025,ANOS_COM_COMPRA,CLASSE_PRODUTO,PREVISAO_MENSAL_2026,PREVISAO_ANUAL_2026,ORIGEM_PREVISAO
CM029657,0.0,1.5,3.8333333333333335,3.8333333333333335,0,1,1,2,RECORRENTE,3.8629876966147236,46.355852359376684,MODELO_ML
CM029658,0.0,1.5,1.5,1.5,0,1,1,2,RECORRENTE,1.5074784829537673,18.089741795445207,MODELO_ML
CM029661,0.0,0.9166666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029662,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029663,0.0,1.0,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029664,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029665,0.0,1.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029666,0.0,1.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029667,0.0,1.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029669,0.0,1.0,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029670,0.0,2.0,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM029671,0.0,2.0,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM029672,0.0,2.0,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM029673,0.0,0.5,0.5,0.5,0,1,1,2,RECORRENTE,0.5010259684836577,6.012311621803892,MODELO_ML
CM029674,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029675,0.0,1.0,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029676,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029677,0.0,1.0,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029678,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029679,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029680,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029681,0.0,1.0,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029682,0.0,1.0,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029683,0.0,1.0,0.5,0.5,0,1,1,2,RECORRENTE,0.5010259684836577,6.012311621803892,MODELO_ML
CM029684,0.0,0.5,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM029685,0.0,0.5,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM029686,0.0,0.4166666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029687,0.0,0.4166666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029688,0.0,0.4166666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029689,0.0,0.8333333333333334,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029690,0.0,0.6666666666666666,1.8333333333333333,1.8333333333333333,0,1,1,2,RECORRENTE,1.8376984559713736,22.05238147165648,MODELO_ML
