RAZAO_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,score,rating,classificacao
IROMANN COMERCIAL LTDA,7.0,0.0,1,5431.04,5431.04,0.0,0.0,6.789,0.3869767442466198,1,Ruim / Não recomendado
ITATIAIAATACADISTA LTDA,4.0,0.0,2,3063.41,3063.41,0.0,0.0,15.235083333333334,0.39390949091476124,2,Ruim / Não recomendado
J ALVES FERRAMENTASE MAQUINAS LTDA,1.0,0.0,1,170.0,170.0,0.0,0.0,85.0,0.39813953489237425,3,Médio
JAINE SILVA AUTO MECANICA LTDA,0.0,0.0,1,130.68,130.68,0.0,0.0,13.068,0.4,3,Médio
JAINE SILVA AUTO MECANICA LTDA-ME,0.0,0.0,1,1800.0,1800.0,0.0,0.0,600.0,0.4,3,Médio
JAKELINE VIEIRA CRUVINEL CABRAL,1.6666666666666667,1.1547005383792517,3,633.69,633.69,0.0,0.0,186.23000000000002,0.39960192751115214,3,Médio
JC DIST LOG IMP E EXP DE PROD IND SA,3.1,1.7740824166460338,20,40238.85,40181.05,0.0,0.0,59.19447142857143,0.4199082337263797,5,Ótimo / Recomendado
JC DISTRIBUIDORA DE FILTROS E PECAS AUTOMOTIVAS LTDA - ME,0.8,1.788854381999832,5,3303.58,3303.58,0.0,0.0,217.181,0.40391703329495615,4,Bom
JC PARTS E SERVICES -EIRELI-ME,0.0,0.0,1,600.0,600.0,0.0,0.0,300.0,0.4,3,Médio
JC PECAS DE ELETRODOMESTICOS EIRELI,0.0,0.0,1,320.0,320.0,0.0,0.0,320.0,0.4,3,Médio
JG INDUSTRIA METALURGICA LTDA,1.5,0.7071067811865476,2,6159.8,6019.92,0.0,0.0,23.681928571428568,0.39856065368382565,3,Médio
JJ MOLAS COMERCIO LTDA,31.5,41.71930009000631,2,1159.8,1159.8,0.0,0.0,57.99,0.3427467004550533,1,Ruim / Não recomendado
JL COMERCIO DE PECAS E PNEUMATICOS LTDA,5.285714285714286,12.639550694476513,14,3803.0,3803.0,0.0,0.0,120.925,0.407733680490984,4,Bom
JOAO ALCELMO DE CARVALHO,0.25,0.5,4,26410.0,26410.0,0.0,0.0,470.0,0.40358893775888616,4,Bom
JOMARCA INDUSTRIAL DE PARAFUSOS LTDA,8.75,0.8864052604279183,8,66090.9,62057.24,0.0,0.0,47.94459239130435,0.39318038972512404,2,Ruim / Não recomendado
JOSE BREM FERNANDES MACHADO,0.0,0.0,1,3550.0,3550.0,0.0,0.0,66.25,0.4,3,Médio
JP ACESSORIOS LTDA,0.0,0.0,2,1450.0,1450.0,0.0,0.0,165.0,0.40135135134526423,4,Bom
JR ATACADO E DISTRIBUIDORA DE EMBALAGENS PLASTICAS,3.25,2.8722813232690143,4,2477.32,2477.32,0.0,0.0,28.974,0.3980075424360089,3,Médio
JRL ATACADO E DISTRIBUIDORA LTDA,7.0,2.160246899469287,4,4464.09,4464.09,0.0,0.0,7.71,0.3910307982824124,2,Ruim / Não recomendado
JSC MORAIS LTDA,2.0,0.0,1,197.1,197.1,0.0,0.0,13.14,0.3962790697847485,3,Médio
JW ROLAMENTOS RETENTORES E PECAS LTDA,1.4,0.8944271909999159,5,2700.4300000000003,2700.4300000000003,0.0,0.0,74.67875000000001,0.4028007542303807,4,Bom
