RAZAO_FORNECEDOR,CNPJ_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,rating,classificacao
PERFIL EPI'S E SOLDAGEM LTDA,5607740000104,3.4,4.505552130427524,5,2130000,2130000,0.0,0.0,46.25,4,Bom
PERFIX IND E COM DE FERAGENS LTDA,11111793000132,7.0,0.0,1,899930,845000,0.0,0.0,84.5,3,Médio
PETER COMERCIO DE TINTAS EIRELI,31957249000113,2.0,0.0,1,1315000,1315000,0.0,0.0,263.0,4,Bom
PNEULANDIA COMERCIAL LTDA-RVD,1536085003610,52.5,68.58935777509511,2,5986000,5986000,0.0,0.0,1024.0,3,Médio
PODIUM COM DE PROD AUTOMOTIVOS LTDA GO,7347634000164,2.0,1.4142135623730951,2,4602090,4593090,0.0,0.0,25.711166666666667,4,Bom
POLICORDAS INDUSTRIA E COMERCIO LTDA-ME,17050546000150,8.8,4.43846820423443,5,21235910,21235910,0.0,0.0,1.0623793103448276,3,Médio
POLIPECAS DISTRIBUIDORA AUTOMOTIVA LTDA,2222289000119,1.0,0.0,1,2661500,2659000,0.0,0.0,2659.0,4,Bom
POLIPLASTICO INDUSTRIA E COMERCIO DE PLASTICOS LTDA EPP,65673386000148,4.0,0.0,1,2846900,2846900,0.0,0.0,2.9085,4,Bom
POLISUL IND E COM DE LONAS PLASTICAS LTDA,36850113000123,5.0,1.4142135623730951,2,15297200,15297200,0.0,0.0,7.307571428571428,4,Bom
POP BUY COMERCIO DE ARTIGOS PARA PROTECAO,36718469000108,3.0,1.7320508075688772,3,2417200,2417200,0.0,0.0,37.18666666666667,4,Bom
POSITEC IMPORTACAO DE FERRAMENTAS LTDA,17835389000198,10.5,3.5355339059327378,2,23469410,22116330,0.0,0.0,396.88461538461536,3,Médio
PRO-SAFETY INDUSTRIA E COMERCIO DE EQUIPAMENTOS DE,8025426000292,9.88888888888889,1.90029237516523,9,34778320,33385560,0.0,0.0,10.007777777777777,4,Bom
PUMA DO BRASIL LTDA,76751072000132,17.0,5.656854249492381,2,2483840,2483840,0.0,0.0,1241.92,3,Médio
RA FERRAGENS DISTRIBUIDORA E IMPORTADORA LTDA ME,49236253000158,7.0,0.0,1,7994250,7994250,0.0,0.0,13.21175,3,Médio
RAINHA DA BORRACHA LTDA,37886462000168,1.3333333333333333,0.816496580927726,6,11904500,11948500,44000.0,0.003682470603004253,427.1818181818182,4,Bom
RBL IMPORTADORA E SERVICO CENTRO NORTE EIRELI,39687166000163,1.25,0.4629100498862757,8,25169080,25169080,0.0,0.0,116.29349206349205,4,Bom
RCC COMERCIAL IMPORTADORA LTDA.,6999070000181,1.0,0.0,1,1015390,928480,0.0,0.0,36.51333333333333,4,Bom
REINO DA BORRACHA LTDA,4451758000105,1.1666666666666667,0.408248290463863,6,6155000,6155000,0.0,0.0,76.0,4,Bom
RENATA BORGES TRINDADE - D'CASA - ME,17996670000102,17.0,0.0,1,69990,77800,7810.0,0.10038560411182025,77.8,4,Bom
REVISORA GOIANA LTDA,18814934000122,8.0,0.0,1,1070030,1070030,0.0,0.0,267.5075,3,Médio
RG COMPRESSORES LTDA,57015900000120,5.0,0.0,1,100000,100000,0.0,0.0,50.0,4,Bom
RHINO FABRICACAO E ATACADO DE EPI'S LTDA,11803981000121,10.0,0.0,1,7580000,7580000,0.0,0.0,37.9,3,Médio
RIO DIESEL PECAS E SERVIÃOS LTDA,17994551000110,0.0,0.0,1,200800,251000,50200.0,0.19999999999920318,83.66666666666667,5,Ótimo / Recomendado
RIO VERDE MANGUEIRAS,5279652000120,6.0,3.391164991562634,5,1625660,1888680,263020.0,0.1392612830124006,132.14981818181818,5,Ótimo / Recomendado
RIOFER INDUSTRIAL LTDA,3047504000155,3.25,3.4948942350643053,8,8613650,8545730,0.0,0.0,50.705714285714286,4,Bom
ROBERT BOSCH LIMITADA,45990181003285,8.5,2.173067468400883,10,61519200,59328570,0.0,0.0,423.24732352941174,4,Bom
ROBUSTEC INDUSTRIA E COMERCIO LTDA,4684648000851,7.833333333333333,1.7224014243685086,6,41199110,41114380,0.0,0.0,64.51153846153845,4,Bom
RONDO FOX BATERIAS LTDA,3430685000102,4.166666666666667,0.752772652709081,6,3475000,3475000,0.0,0.0,412.5,4,Bom
RRC VIGARIO,8854720000126,1.0,0.0,1,320000,320000,0.0,0.0,320.0,4,Bom
S DE S LTDA,34639741000139,1.0,0.0,1,3040000,3040000,0.0,0.0,169.0,4,Bom
SALES IND COM DE MAQUINAS LTDA,66826918000100,9.0,0.0,1,2716040,2716040,0.0,0.0,2716.04,3,Médio
SAN HO COMERCIO IMPORTACAO E EXPORTACAO LTDA - ME,17328359000195,3.1052631578947367,3.6801983165480103,19,61303650,60824670,0.0,0.0,13.62643119266055,5,Ótimo / Recomendado
SANTA MONICA PROD QUIM CATANDUVA LTDA,69300028000140,3.0,0.7745966692414835,11,48465540,46940000,0.0,0.0,96.1826923076923,5,Ótimo / Recomendado
SAUBER PARTS IMPORTACAO EXPORTACAO LTDA,50840283000158,1.0,0.0,1,1256480,1179790,0.0,0.0,11.798,4,Bom
SCHWEERS METALURGICA EIRELI,81311276000192,7.0,1.7320508075688772,3,8362720,8127400,0.0,0.0,12.251411764705882,3,Médio
SEABRA LUBRIFICANTES EIRELI - ME,20599526000147,1.0,0.0,1,998000,998000,0.0,0.0,499.0,4,Bom
SENDAS DISTRIBUIDORA S/A,6057223037253,0.0,0.0,1,701100,701100,0.0,0.0,18.45,4,Bom
SFERA ROLAMENTOS E PECAS LTDA SFERAROL,12128094000168,2.393939393939394,4.227435643651139,33,43016830,42941470,0.0,0.0,11.74678313253012,5,Ótimo / Recomendado
SFERAROL ROLAMENTOS E PECAS LTDA,12128439000154,1.0,0.0,1,367120,367120,0.0,0.0,12.237,4,Bom
"SIGMA TOOLS COMERCIO DE MAQUINAS, EQUIPAMENTOS E A",13031956000100,5.666666666666667,4.618802153517007,3,16965740,16262440,0.0,0.0,493.73466666666667,3,Médio
"SIGMA TOOLS COMERCIO DE MAQUINAS, EQUIPAMENTOS E ACESSORIOS",13031956000283,8.0,0.0,1,1216110,1156000,0.0,0.0,289.0,3,Médio
SIVA IND. E COM. DE ARTEFATOS DE ARAME E ACO LTDA,62576749000139,14.0,0.0,1,5362190,4885820,0.0,0.0,48.858,3,Médio
SKY IND E COM PROD DESCARTAVEIS LTDA,2491464000173,7.0,1.4142135623730951,2,5280000,5280000,0.0,0.0,2.2,3,Médio
SM INDUSTRIA E COMERCIO LTDA,59258939000101,7.0,0.0,1,9267170,9076000,0.0,0.0,48.80833333333334,3,Médio
SMART PURIFICADORES E ELETRODOMESTICOS LTDA,21607311000193,1.0,0.0,1,140000,140000,0.0,0.0,140.0,4,Bom
SNAP-ON DO BRASIL COM E IND LTDA,60395175000177,9.666666666666666,2.3094010767585034,3,7420830,7196160,0.0,0.0,9.476363636363637,3,Médio
SO CARDAN LTDA,5074488000115,14.714285714285714,7.476948702830714,7,1635000,1800000,165000.0,0.09166666666661574,80.88235294117646,4,Bom
SOMAFERTIL LTDA,2705481001219,4.625,3.7392703642746747,8,19743230,26665400,6922170.0,0.2595937057010111,442.7128205128205,5,Ótimo / Recomendado
SOUSA COMERCIO DE PRODUTOS AUTOMOTIVOS LTDA,8296100000380,1.625,1.02469507659596,16,99004110,99004110,0.0,0.0,107.50769565217391,5,Ótimo / Recomendado
SOUSA E PEREIRA LTDA ME,8847035000172,2.5,3.5355339059327378,2,770700,842030,71330.0,0.08471194613008479,62.34888888888889,5,Ótimo / Recomendado
SP PARTS IMPORTACAO E EXPORTACAO LTDA,41598551000186,4.103448275862069,7.6734459924479035,29,34056660,32368680,0.0,0.0,11.025009615384617,5,Ótimo / Recomendado
STILEX ABRASIVOS LTDA,48200612000154,16.0,2.8284271247461903,2,13049460,13049460,0.0,0.0,12.185384615384615,3,Médio
SUECA ROLAMENTOS E SOLUCOES INDUSTRIAIS LTDA,2410500000712,1.3076923076923077,0.6304251719561152,13,48805910,48805910,0.0,0.0,98.82970588235294,5,Ótimo / Recomendado
SUPER TORK COLUMBIA COM DE FERRAMENTAS ELETRICAS,8188029000150,9.0,0.0,1,3138380,3138380,0.0,0.0,110.86500000000001,3,Médio
SUPREMA DISTRIBUIDORA DE VEDACOES E COMP HIDR LTDA,13213895000194,1.0,0.0,6,3151560,3151560,0.0,0.0,6.091081081081081,4,Bom
TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU SA,17359233000935,6.0,0.0,2,19342300,19313740,0.0,0.0,25.04360759493671,3,Médio
TELESEG TELECOM E SISTEMAS DE SEGURANCA LTDA,5471368000151,1.0,0.0,1,1500000,1500000,0.0,0.0,1500.0,4,Bom
THE BLACK PARTICIPACOES LTDA,42671051000276,4.0,0.0,1,366660,378000,11340.0,0.029999999999920635,378.0,4,Bom
THE FLEX DISTRIBUIDORA DE CONEXOES PARA FREIOS,52338667000100,1.0,0.0,29,52691250,52691250,0.0,0.0,12.351007751937985,5,Ótimo / Recomendado
TIAGO DA SILVA LEAO 51265655,51265655000122,2.0,0.0,1,1750000,1750000,0.0,0.0,60.345,4,Bom
TOLEAGRI - TOLEDO PECAS AGRICOLAS LTDA,5797586000342,9.0,0.0,1,1899180,1818180,0.0,0.0,61.625,3,Médio
TOLEAGRI - TOLEDO PECAS AGRICOLAS LTDA - EPP,5797586000180,5.0,4.242640687119285,2,2490840,2469610,0.0,0.0,176.39285714285714,4,Bom
TORNOTEC USINAGEM LTDA-ME,12600694000187,21.0,14.142135623730951,2,800000,800000,0.0,0.0,400.0,3,Médio
TRACTORTEM DIST E IMP DE PECAS PARA TRATORES LTDA,7852006000136,2.2,1.3038404810405297,5,2806330,2781700,0.0,0.0,27.522166666666667,4,Bom
V.S.A. VASSOURAS SANTO ANTONIO LTDA,25320544000161,0.5,0.7071067811865476,2,1048000,1048000,0.0,0.0,21.8335,4,Bom
VA IMPORTACAO E DISTRIBUICAO EIRELI,15183044000171,12.0,0.0,1,10841960,10841960,0.0,0.0,1027.542,3,Médio
VALFOR TRATORES COMERCIO DE PECAS LTDA - ME,5308790000190,65.33333333333333,26.025628394590846,3,617980,617980,0.0,0.0,26.532,3,Médio
VALK TUBOS ACESSRIOS E MONTAGENS INDUS LTDA,18310960000113,1.0,0.0,1,724000,724000,0.0,0.0,362.0,4,Bom
VAMOS MAQUINAS E EQUIPAMENTOS,57213191000197,0.0,0.0,1,1500000,1500000,0.0,0.0,750.0,4,Bom
VANUSA MENDES DOS SANTOS LTDA,48787508000108,15.0,6.928203230275509,3,555000,623150,68150.0,0.10936371660096388,155.7875,4,Bom
VASSOURAS SANTO ANTONIO,25320544000161,4.5,4.949747468305833,2,930000,930000,0.0,0.0,11.25,4,Bom
VEDACIL COMPONENTES HIDRAULICOS LTDA,7009443000192,1.0,0.0,4,16504530,16504530,0.0,0.0,13.561891891891893,4,Bom
VENILTON FERREIRA RODRIGUES E CIA LTDA,3482177000160,1.0,1.0,3,79000,81170,1420.75,0.017503387950997866,618.3666666666667,5,Ótimo / Recomendado
VIRTUAL DISTRI DE MAT ELETRICOS EIRELI,28552686000142,13.0,0.0,1,2529670,2409200,0.0,0.0,14.245000000000001,3,Médio
VR COMERCIO DE MADEIRAS EIRELI,42723506000179,3.0,0.0,1,318000,318000,0.0,0.0,39.75,4,Bom
WB COMPONENTES AUTOMOTIVOS LTDA,8528393000112,1.2105263157894737,1.2977713690461004,38,87518990,87368990,0.0,0.0,82.49306363636363,5,Ótimo / Recomendado
WELLINGTON JUNIO DA COSTA SILVA,59084323000153,1.0,0.0,1,1525700,1525700,0.0,0.0,10.6525,4,Bom
WESLEY ROCHA,12100000001,1.0,0.0,1,2080000,2080000,0.0,0.0,18.575,4,Bom
WMS SUPERMERCADOS DO BRASIL LTDA,93209765055957,5.0,0.0,1,646350,646350,0.0,0.0,31.50142857142857,4,Bom
WURTH DO BRASIL PECAS DE FIXACAO LTDA,43648971000155,6.285714285714286,1.815682598006407,14,32360290,31170780,0.0,0.0,36.22158928571428,5,Ótimo / Recomendado
