RAZAO_FORNECEDOR,CNPJ_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,rating,classificacao
CHIAPERINI INDUSTRIAL LTDA,59064766000182,12.0,0.0,1,4105820,4081680,0.0,0.0,1762.335,3,Médio
CHURRASQUEIRA PATINI LTDA ME,3549205000119,1.5,0.7071067811865476,2,1390000,1390000,0.0,0.0,73.0,4,Bom
COBRA CONEXOES BRASIL IND METALURGICA LTDA,56940380000107,5.0,0.0,1,6895680,6678600,0.0,0.0,5.264166666666667,3,Médio
COBRA ENGENHARIA IND E COM LTDA,243816000146,3.0,0.0,1,220000,269360,49360.0,0.18324918324850292,26.936,5,Ótimo / Recomendado
COE COELHO E CIA LTDA.,1535467000107,3.0,2.160246899469287,4,2894000,2894190,0.19,6.564876528491024e-08,236.798,4,Bom
COFER IMPORTADORA E DISTRIBUIDORA LTDA,3064064000144,3.6470588235294117,1.7299268940690902,17,19954670,19772890,0.0,0.0,32.188738095238094,5,Ótimo / Recomendado
COFER IMPORTADORA E DISTRIBUIDORA LTDA,3064064000810,3.0,0.0,1,1052380,1044400,0.0,0.0,2.851,4,Bom
COLSON DO BRASIL LTDA.,5094003000155,10.5,0.7071067811865476,2,15682200,14516460,0.0,0.0,18.67111111111111,3,Médio
COM. DE ROLAMENTOS PEC. E RE,2589673000154,5.066666666666666,3.305118685283408,15,4305000,4793230,488230.0,0.10185824590096826,29.896893617021277,5,Ótimo / Recomendado
COMERCIAL TEM DE TUDO EIRELI,32842113000120,0.0,0.0,1,17490,17490,0.0,0.0,17.49,4,Bom
COMERCIAL VIPASA EIRELI,20992248000193,1.0,0.0,2,3295280,3295280,0.0,0.0,18.11576923076923,4,Bom
COMERCIO DE TINTAS M E M LTDA,16682559000340,1.0,0.0,1,999000,999460,0.46,4.602485342080121e-07,47.6475,4,Bom
CONDOR ATACADISTA DE MATERIAIS PARA CONSTRUCAO S/A,3261204000174,3.111111111111111,2.472066162365221,9,30354780,30194690,0.0,0.0,28.400875000000003,5,Ótimo / Recomendado
CORREIAS SCHNEIDER LTDA,61158895000181,12.0,0.0,1,118220,111000,0.0,0.0,111.0,3,Médio
CORTE E DOBRA GOIAS LTDA,44840545000181,1.0,0.0,1,142880,142880,0.0,0.0,142.88,4,Bom
DACARI ACESSORIOS LTDA,8992293000142,2.0,2.0,3,844150,844150,0.0,0.0,26.848058823529414,4,Bom
DAISAN PRODUTOS INDUSTRIAIS LTDA,5585654000148,9.833333333333334,2.8127859331777003,18,53919970,50823840,0.0,0.0,158.49416666666667,4,Bom
DECORLUMI E-COMMERCE LTDA,50627716000191,4.0,0.0,1,3540670,3540670,0.0,0.0,147.528,4,Bom
DENIS MARCELO VIEIRA DE SOUZA,20273491000151,1.3714285714285714,0.972737625156423,35,55230910,55281260,50350.0,0.0009107968957292054,11.324757142857143,5,Ótimo / Recomendado
DGOIAS DISTRIBUIDORA DE TINTAS,5002196000177,1.5263157894736843,1.0733344230135038,19,87304130,88758010,1453880.0,0.01638026810199985,26.924025157232705,5,Ótimo / Recomendado
DINIZ VEDACOES INDUSTRIAIS LTDA,62131594000127,4.0,0.0,1,4194000,3938030,0.0,0.0,787.606,4,Bom
DM DISTRIBUICAO E SERVICOS,55914248000150,1.0,0.0,1,199980,199980,0.0,0.0,16.665,4,Bom
DOCOL METAIS SANITARIOS LTDA,75339051000141,10.0,4.242640687119285,2,6116640,6116640,0.0,0.0,423.66,3,Médio
DUTRA MAQUINAS COMERCIAL E TECNICA LTDA,50970342000889,5.0,0.0,1,172510,161150,0.0,0.0,161.15,4,Bom
DVT COMERCIO IMPORTACAO E EXPORTACAO LTDA,7439329000526,6.0,0.0,1,1436990,1297000,0.0,0.0,12.97,3,Médio
DWD COMPONENTES AUTOMOTIVOS LTDA,44949429000103,3.0,2.8284271247461903,2,5959720,5959720,0.0,0.0,28.651439999999997,4,Bom
EDMILSON DE SOUZA NOGUEIRA,11165301000191,1.0,0.0,1,2650660,2650660,0.0,0.0,84.74954545454545,4,Bom
ELIONAIA FARIA DE LIMA CORREIA,53007294000140,0.5,0.7071067811865476,2,100000,100000,0.0,0.0,2.0,4,Bom
ESFERA ESTAMPARIA DE FERRO E ACO LTDA,21260419000152,18.0,0.0,1,2775000,2775000,0.0,0.0,185.0,3,Médio
ETILUX IMPE DIST DE ART DE CUTELARIA S.A,50306471000109,9.5,2.1213203435596424,2,16095140,15308580,0.0,0.0,38.55384615384615,3,Médio
F. DE O. GONDIM - ME,13121738000159,1.6666666666666667,1.1547005383792517,3,5797800,5797800,0.0,0.0,29.9125,4,Bom
FABRICA MINEIRA DE ELETRODOS E SOLDAS DENVER SA,22671564000199,7.0,0.0,1,13252230,12022600,0.0,0.0,29.583750000000002,3,Médio
FBT FABRICA BRASILEIRA DE TUBOS,13641299000105,6.0,0.0,1,3254000,3254000,0.0,0.0,1.405,3,Médio
FEK COMPONENTES ELETRICOS LTDA,45039970000139,4.0,0.0,1,3240000,3240000,0.0,0.0,5.3999999999999995,4,Bom
FERRAGENS NEGRAO CENTRO-OESTE COM L,55578848000194,2.5,1.3165611772087666,16,63160270,63083550,0.0,0.0,30.29430319148936,5,Ótimo / Recomendado
FERRAGISTA MT COMERCIO DE FERRAGENS LTDA,10278710000131,1.0,0.0,3,18409460,18409460,0.0,0.0,20.679583333333333,4,Bom
FERRAGISTA SAO JOSE,11093764000195,13.555555555555555,21.5576442623908,18,2754000,2754000,0.0,0.0,70.475,4,Bom
FLACH INDUSTRIA DE CARREGADORES E EQUIPAMENTOS ELE,16695624000100,7.0,0.0,1,9437630,8919630,0.0,0.0,815.61,3,Médio
FLEXMEGA COMERCIO DE MANGUEIRAS E CONEXOES LTDA,45305791000104,1.0,0.0,4,7902260,8440200,537940.0,0.06373545650576246,16.940235294117645,5,Ótimo / Recomendado
FONSECA DISTRIBUIDORA DE FERRO LTDA,36839126000100,1.5,0.7071067811865476,2,321000,405000,84000.0,0.20740740740689528,70.5,5,Ótimo / Recomendado
FORMULA PRODUTOS AUTOMOTIVOS LTDA,1581193000427,2.769230769230769,1.2428255648381974,26,204302000,204302000,0.0,0.0,954.7296545454545,5,Ótimo / Recomendado
FORTLEV INDUS.E COMERC. DE PLASTICO,10921911001004,6.0,0.0,1,2395670,2395670,0.0,0.0,3.501875,3,Médio
FRATI SUPRIMENTOS INDUSTRIAIS LTDA,10556094000133,10.5,0.7071067811865476,2,15416060,14756080,0.0,0.0,85.44125,3,Médio
FRIOVIX COMERCIO DE REFRIGERAÃ├O,9316105000129,7.0,0.0,1,506970,506970,0.0,0.0,506.97,3,Médio
FUNDICAO PIRAI EIRELI,4943534000102,13.0,0.0,1,2907300,2867820,0.0,0.0,35.467666666666666,3,Médio
G5 - CORDAS & CIA LTDA,46657215000180,5.0,0.0,1,2258200,2258200,0.0,0.0,0.8614285714285714,3,Médio
GARTHEN IND E COM DE MAQUINAS LTDA,82981721000194,9.0,2.0,3,28144840,28144840,0.0,0.0,5787.903333333333,3,Médio
GB COMERCIO E IMPORTACAO LTDA,33840839000197,5.0,0.0,1,539800,539800,0.0,0.0,26.99,4,Bom
GENESIO MACHADO DA SILVA 51730405134,18314258000128,1.5,0.7071067811865476,2,3762000,3762000,0.0,0.0,48.5,4,Bom
GILBERTO ALMEIDA BARBOSA POTENCIA,4345776000102,9.0,9.539392014169456,3,1246480,1384990,138510.0,0.10000794229554004,79.68166666666667,4,Bom
GIMAWA COMERCIAL LTDA,56840051000186,3.0,0.0,1,379900,379900,0.0,0.0,37.99,4,Bom
GLEICIMAR JOSE DE OUSA SILVA 02012147178,18057714000100,7.0,1.414213562373095,4,32040000,32040000,0.0,0.0,491.42857142857144,4,Bom
GLOBOMAQ BORRACHAS E MAQUINAS LTDA,3047573000169,2.2857142857142856,4.423960733486292,7,8084490,8303600,219110.0,0.026387350065028854,301.8533333333333,5,Ótimo / Recomendado
GOIANIA CORREIAS LTDA,26860128000119,2.0,0.0,1,280000,280000,0.0,0.0,70.0,4,Bom
"GOIANIA INDUSTRIA E COMERCIO DE TUBOS, VALV E CONEXOES",31639053000180,2.5,2.3804761428476167,4,5834560,5823890,0.0,0.0,343.721,4,Bom
GOLDTEX INDUSTRIA QUIMICA LTDA,31957249000113,3.6666666666666665,2.5166114784235836,3,1386000,1386000,0.0,0.0,81.5,4,Bom
GSN LONAS E ENCERADOS LTDA,49241239000142,7.0,0.0,1,1152000,1152000,0.0,0.0,288.0,3,Médio
GUIMARAES AGRICOLA LTDA,25120551000110,1.0,0.0,1,540080,540080,0.0,0.0,135.02,4,Bom
HIDRAFLUX INDUSTRIAL LTDA,898004000139,5.7272727272727275,3.0030287741181936,11,118588340,114190360,0.0,0.0,91.72658823529412,5,Ótimo / Recomendado
